Strategy,Return,Volatility,Sharpe,Max Drawdown
Equal Weight,0.16222230665306117,0.12308779133809622,1.3179398613748028,-0.09964153082893334
Raw GMVP,-0.34800181613806397,0.23194285435385545,-1.5003773973012648,-0.3335063752023376
RMT GMVP,-0.008250394575687681,0.12414622216114349,-0.06645707321628004,-0.11885342740950222
LW GMVP,-0.154548602188684,0.14260337110270305,-1.0837654186826902,-0.1801355969141425
HRP,0.07259242962588217,0.10697298130468719,0.6786052771504968,-0.09729747985046522
